NOM_OPERATEUR,PUISSANCE_NOMINALE,NB_PRISES
Power Dot France,111,10
Power Dot France,114,10
Power Dot France,43,6
ProperPhi,22,4
QOVOLTIS,22,124
QoWatt,210,36
QoWatt,22,30
QoWatt,200,12
Qwello,22,23
Qwello,11,18
Road | FR*EFL,22,21
Road | FR*EFL,11,21
Road | FR*EFL,240,20
Road | FR*EFL,7,9
Road | FR*EFL,176,6
RossiniEnergy,22,64
R3,22,56
R3,150,32
R3,180,24
R3,50,10
See You Sun,22,2
See You Sun,7,1
SEOLIS,22,36
SEOLIS,1,21
SEOLIS,2,15
SEVDEC,22,1
SGA Industries,22,68
SGA Industries,1,59
SGA Industries,120,12
SIEGE 27,22,4
Soregies,17,32
Soregies,3,32
Soregies,7,21
Soregies,22,19
Soregies,11,19
Soregies,50,10
Soregies,200,8
SOREGIES MOBILITES,11,1064
SOREGIES MOBILITES,18,288
SOREGIES MOBILITES,22,104
SOREGIES MOBILITES,200,64
Sorel Energies,60,8
Sowatt Solutions,22,3
Sowatt Solutions,50,3
SPIE CITYNETWORKS,22,1580
SPIE CITYNETWORKS,50,186
SPIE CITYNETWORKS,43,96
SPIE CITYNETWORKS,25,48
SPIE CityNetworks,200,4
STATIONS-E,22,122
STATIONS-E,24,52
STATIONS-E,25,6
Tesla,250,186
TESLA France SARL,250,155
TotalEnergies Charging Services,300,652
TotalEnergies Charging Services,175,532
TotalEnergies Charging Services,54,224
TotalEnergies Charging Services,150,86
TotalEnergies Charging Services,22,14
TotalEnergies Charging Services,50,4
TotalEnergies Marketing France,300,75
TotalEnergies Marketing France,22,54
TotalEnergies Marketing France,150,39
TotalEnergies Marketing France,50,12
TotalEnergies Marketing France,7,12
TotalEnergies Marketing France,24,6
UBITRICITY GMBH,22,20
Virta,0,68
Virta,22,52
Virta,7,8
WAAT SAS | FR*WA2,22,31
WAAT SAS | FR*WA2,7,6
WAAT Umbrella-Copro,47,11
WAAT Umbrella-Copro,22,11
WATTZHUB,22,1
WattzHub | FR*SMI,22,1
YES55 | FR*Y55,22,40
YES55 | FR*Y55,7,4
Yusco | FR*USC,22,88
Yusco | FR*USC,50,80
Yusco | FR*USC,400,40
ZEBORNE,22,28
ZEBORNE,0,4
ZEborne,22,2
ZEborne,24,1
ZEENCO,25,2
ZEENCO,22,2
ZEENCO e-mobility,22,13
ZEENCO e-mobility,24,9
ZEENCO e-mobility,60,2
Zephyre | FR*ZP1,22,8
Zephyre | FR*ZP1,3,3
Zephyre | FR*ZP1,14,2
Zephyre | FR*ZP1,17,1
Zephyre SAS,22,16
Zephyre SAS,7,6
Zephyre SAS,11,2
Ze-Watt,7360,1369
Ze-Watt,6900,20
Ze-Watt,3680,12
Ze-Watt,50,8
Zunder,22,14
Zunder,400,9
Zunder,50,5
Zunder,200,5
Zunder | ES*ZUN,200,10
Zunder | ES*ZUN,22,10
Zunder | ES*ZUN,50,5
